Real,Previsto
219000.0,200936.93244246475
184900.0,267351.6029645315
350000.0,516944.9917877448
179900.0,200936.93244246475
280000.0,358226.3082706767
349000.0,454090.62152777775
250000.0,365093.23529411765
282000.0,200936.93244246475
480500.0,365093.23529411765
690000.0,365093.23529411765
1560000.0,1249133.8392857143
1580000.0,1665000.0
2900000.0,2862967.4025974027
440000.0,497401.9864364982
85000.0,200936.93244246475
17000.0,286147.98560700874
233655.0,267351.6029645315
435000.0,403101.6424242424
899900.0,798450.7593880389
2400000.0,1249133.8392857143
190000.0,267351.6029645315
395000.0,267351.6029645315
414500.0,497401.9864364982
225000.0,497401.9864364982
395000.0,497401.9864364982
300000.0,525149.3953488372
948000.0,562735.2483221476
369000.0,403101.6424242424
350000.0,301593.97575757577
975000.0,497401.9864364982
192900.0,267351.6029645315
550000.0,516944.9917877448
45000.0,516944.9917877448
365000.0,403803.02116402116
235000.0,412938.3522727273
420000.0,426764.28571428574
225000.0,267351.6029645315
269000.0,342982.94088669954
850000.0,497401.9864364982
189800.0,398676.9759450172
1250000.0,1075327.7441860465
475000.0,516944.9917877448
225000.0,200936.93244246475
550000.0,311228.07042253524
280000.0,286147.98560700874
315000.0,200936.93244246475
245000.0,200936.93244246475
330000.0,365093.23529411765
494000.0,562735.2483221476
355000.0,438061.125
358500.0,286147.98560700874
200000.0,291475.01516683516
1990000.0,733778.9817444219
250000.0,357118.4210526316
395000.0,286147.98560700874
595000.0,286147.98560700874
252500.0,291475.01516683516
253000.0,286147.98560700874
580000.0,403803.02116402116
152000.0,200936.93244246475
365000.0,200936.93244246475
804000.0,785353.2034632035
159000.0,267351.6029645315
424000.0,403803.02116402116
184900.0,267351.6029645315
290000.0,516944.9917877448
34900.0,286147.98560700874
2800000.0,798450.7593880389
288000.0,286147.98560700874
154900.0,291475.01516683516
405000.0,286147.98560700874
2500000.0,1524177.8839779005
475000.0,516944.9917877448
345000.0,286147.98560700874
160000.0,200936.93244246475
429500.0,200936.93244246475
595000.0,259954.54545454544
1099000.0,200936.93244246475
695000.0,1524177.8839779005
340000.0,286147.98560700874
179900.0,267351.6029645315
120000.0,200936.93244246475
305000.0,342982.94088669954
595000.0,267351.6029645315
99000.0,200936.93244246475
1500000.0,516944.9917877448
735000.0,497401.9864364982
450000.0,365093.23529411765
233000.0,403101.6424242424
735000.0,938076.5765765766
365000.0,200936.93244246475
576000.0,714538.4615384615
365000.0,575612.015625
500000.0,562735.2483221476
360000.0,311228.07042253524
165000.0,365093.23529411765
380000.0,365093.23529411765
120000.0,200936.93244246475
210000.0,286147.98560700874
320000.0,365093.23529411765
695000.0,798450.7593880389
385000.0,286147.98560700874
1800000.0,798450.7593880389
395000.0,267351.6029645315
280000.0,798450.7593880389
340000.0,365093.23529411765
400000.0,286147.98560700874
475000.0,358226.3082706767
379000.0,412938.3522727273
425000.0,798450.7593880389
180000.0,267351.6029645315
489000.0,375421.73913043475
280000.0,286147.98560700874
325000.0,267351.6029645315
275000.0,267351.6029645315
1297010.0,795787.4549549549
310000.0,412938.3522727273
70000.0,200936.93244246475
199950.0,311228.07042253524
340147.0,497401.9864364982
200213.0,267351.6029645315
105000.0,200936.93244246475
492000.0,267351.6029645315
150000.0,286147.98560700874
189990.0,291475.01516683516
145000.0,200936.93244246475
709500.0,738258.6346153846
280000.0,291475.01516683516
205000.0,342982.94088669954
515000.0,516944.9917877448
349000.0,286147.98560700874
400000.0,291475.01516683516
287000.0,375421.73913043475
145000.0,267351.6029645315
745000.0,365093.23529411765
290000.0,267351.6029645315
1300000.0,516944.9917877448
127500.0,200936.93244246475
698000.0,795787.4549549549
315000.0,267351.6029645315
1150000.0,938076.5765765766
790000.0,610345.205479452
274000.0,403101.6424242424
400000.0,744449.0
755000.0,523130.54054054053
390000.0,511658.53658536583
695000.0,798450.7593880389
995000.0,753897.339055794
1100000.0,738258.6346153846
380000.0,291475.01516683516
395000.0,785353.2034632035
480000.0,511658.53658536583
445000.0,286147.98560700874
78000.0,200936.93244246475
375000.0,798450.7593880389
399000.0,395913.0081300813
242500.0,267351.6029645315
390000.0,286147.98560700874
188000.0,200936.93244246475
224000.0,200936.93244246475
800000.0,938076.5765765766
342500.0,516944.9917877448
700000.0,798450.7593880389
450000.0,286147.98560700874
475000.0,516944.9917877448
535000.0,497401.9864364982
540000.0,733778.9817444219
498500.0,511658.53658536583
380000.0,412938.3522727273
237000.0,286147.98560700874
355000.0,403101.6424242424
730000.0,1524177.8839779005
150000.0,798450.7593880389
