Index;Type; Price ;Area;Location;Property
10251;T1;372 000,00 €;75;Porto;Apartments
10252;T2;360 000,00 €;83;Porto;Apartments
10253;T3;595 000,00 €;100.26;Lisboa;Apartments
10255;T1;350 000,00 €;44;Lisboa;Apartments
10256;T1;750 000,00 €;97;Lisboa;Apartments
10257;T3;365 000,00 €;95;Lisboa;Apartments
10258;T2;225 000,00 €;82;Santar?©m;Apartments
10259;T2;495 000,00 €;135;Faro;Apartments
1026;T2;187 000,00 €;76;Lisboa;Apartments
10261;T3;1 250 000,00 €;169.93;Porto;Apartments
10262;T2;1 310 000,00 €;173;Porto;Apartments
10263;T1;450 000,00 €;82;Porto;Apartments
10264;T3;380 000,00 €;125;Set??bal;Apartments
10265;T1;220 000,00 €;63;Porto;Apartments
10266;T3;370 000,00 €;157;Set??bal;Apartments
10268;T3;365 000,00 €;158;Set??bal;Apartments
10269;T2;195 000,00 €;86;Braga;Apartments
1027;T3;232 500,00 €;125.53;Set??bal;Apartments
10270;T3;365 000,00 €;156;Set??bal;Apartments
10271;T2;195 000,00 €;68;Porto;Apartments
10272;T2;197 500,00 €;63;Set??bal;Apartments
10273;T4;1 900 000,00 €;241.22;Lisboa;Apartments
10274;T3;280 000,00 €;102;Faro;Apartments
10275;T3;2 195 000,00 €;160;Lisboa;Apartments
10276;T3;739 900,00 €;143;Porto;Apartments
10277;T1;172 500,00 €;59.80;Castelo Branco;Apartments
10279;T2;290 000,00 €;123;Faro;Apartments
1028;T2;195 000,00 €;89.30;Porto;Apartments
10280;T1;220 000,00 €;52;Faro;Apartments
10281;T3;110 000,00 €;98;Leiria;Apartments
10282;T2;325 000,00 €;73.19;Aveiro;Apartments
10283;T2;750 000,00 €;100;Porto;Apartments
10284;T0;275 000,00 €;42;Porto;Apartments
10285;T2;235 500,00 €;111.60;Castelo Branco;Apartments
10286;T2;227 500,00 €;87.90;Castelo Branco;Apartments
10287;T3;915 000,00 €;158;Porto;Apartments
10288;T2;615 000,00 €;107;Porto;Apartments
10289;T1;344 000,00 €;46.60;Lisboa;Apartments
1029;T1;288 000,00 €;43.46;Lisboa;Apartments
10290;T2;230 000,00 €;87.20;Castelo Branco;Apartments
10291;T2;229 500,00 €;89;Porto;Apartments
10292;T4;890 000,00 €;126.80;Lisboa;Apartments
10293;T3;560 000,00 €;100;Lisboa;Apartments
10294;T1;590 000,00 €;103;Porto;Apartments
10295;T2;159 900,00 €;79;Braga;Apartments
10297;T2;279 800,00 €;83.40;Lisboa;Apartments
10298;T3;1 399 000,00 €;125;Lisboa;Apartments
10299;T3;465 000,00 €;98.67;Porto;Apartments
103;T3;445 000,00 €;119;Aveiro;Apartments
1030;T2;240 000,00 €;115;Faro;Apartments
10300;T3;465 000,00 €;98.67;Porto;Apartments
10301;T1;265 000,00 €;50;Faro;Apartments
10302;T3;915 000,00 €;155.14;Porto;Apartments
10303;T4;1 650 000,00 €;265.11;Porto;Apartments
10304;T4;2 250 000,00 €;269.45;Porto;Apartments
10305;T4;2 100 000,00 €;250.77;Porto;Apartments
10306;T1;620 000,00 €;75.22;Faro;Apartments
10307;T2;330 000,00 €;90.43;Faro;Apartments
10308;T2;905 000,00 €;111.43;Faro;Apartments
10309;T1;165 000,00 €;70;Aveiro;Apartments
1031;T2;147 500,00 €;67;Aveiro;Apartments
10310;T2;920 000,00 €;142;Lisboa;Apartments
10311;T2;605 115,00 €;100.72;Lisboa;Apartments
10312;T2;589 050,00 €;89.67;Lisboa;Apartments
10313;T3;1 100 000,00 €;136.18;Faro;Apartments
10314;T2;955 000,00 €;119.47;Faro;Apartments
10316;T1;250 000,00 €;60;Porto;Apartments
10317;T3;1 055 000,00 €;143;Lisboa;Apartments
10318;T0;195 000,00 €;34;Porto;Apartments
10319;T3;822 000,00 €;145;Lisboa;Apartments
1032;T2;380 000,00 €;85.20;Faro;Apartments
10320;T2;774 000,00 €;98.61;Lisboa;Apartments
10321;T2;243 100,00 €;102;Porto;Apartments
10322;T3;195 000,00 €;108;Santar?©m;Apartments
10323;T3;198 000,00 €;145;Santar?©m;Apartments
10324;T3;310 000,00 €;125;Porto;Apartments
10325;T3;425 000,00 €;153;Porto;Apartments
10326;T3;225 000,00 €;140;Porto;Apartments
10327;T2;205 000,00 €;80;Porto;Apartments
10329;T2;227 500,00 €;87.90;Castelo Branco;Apartments
1033;T3;335 000,00 €;122;Porto;Apartments
10330;T2;315 000,00 €;102;Porto;Apartments
10331;T1;398 000,00 €;74;Lisboa;Apartments
10333;T3;789 000,00 €;123;Lisboa;Apartments
10334;T1;339 000,00 €;65;Lisboa;Apartments
10335;T1;199 000,00 €;47;Set??bal;Apartments
10336;T1;295 900,00 €;52;Lisboa;Apartments
10337;T3;852 083,00 €;138.86;Lisboa;Apartments
10338;T2;272 000,00 €;77.70;Porto;Apartments
10339;T1;165 000,00 €;62.85;Castelo Branco;Apartments
1034;T0;106 000,00 €;38;Braga;Apartments
10340;T3;298 000,00 €;81;Porto;Apartments
10341;T3;465 000,00 €;127.40;Aveiro;Apartments
10342;T3;775 000,00 €;123.61;Lisboa;Apartments
10343;T1;319 900,00 €;37.50;Lisboa;Apartments
10344;T2;230 000,00 €;103;Porto;Apartments
10345;T3;280 000,00 €;97.30;Aveiro;Apartments
10346;T4;560 000,00 €;184;Braga;Apartments
10347;T2;210 000,00 €;158;Santar?©m;Apartments
10348;T3;435 000,00 €;135.84;Lisboa;Apartments
10349;T3;220 000,00 €;132.90;Aveiro;Apartments
1035;T2;224 500,00 €;64;Lisboa;Apartments
10350;T3;445 000,00 €;129;Set??bal;Apartments
10351;T3;490 000,00 €;158;Set??bal;Apartments
10352;T1;139 000,00 €;33;Braga;Apartments
10353;T2;460 000,00 €;105;Porto;Apartments
10354;T3;435 000,00 €;118;Aveiro;Apartments
10355;T2;190 000,00 €;100.75;Aveiro;Apartments
10356;T2;450 000,00 €;82;Porto;Apartments
10357;T2;199 900,00 €;66;Set??bal;Apartments
10358;T2;179 500,00 €;86;Lisboa;Apartments
10359;T1;220 000,00 €;58;Porto;Apartments
10360;T3;220 000,00 €;132.90;Aveiro;Apartments
10361;T3;220 000,00 €;132.90;Aveiro;Apartments
10362;T3;320 000,00 €;133;Porto;Apartments
10363;T5;1 750 000,00 €;265;Lisboa;Apartments
10364;T4;2 015 000,00 €;347.92;Lisboa;Apartments
10365;T3;235 000,00 €;117;Porto;Apartments
10366;T3;995 000,00 €;165.55;Lisboa;Apartments
10367;T3;585 000,00 €;100;Faro;Apartments
10368;T2;279 800,00 €;93.61;Lisboa;Apartments
10369;T1;150 000,00 €;60.75;Aveiro;Apartments
1037;T2;529 000,00 €;111.90;Lisboa;Apartments
10370;T2;815 000,00 €;147.87;Lisboa;Apartments
10371;T1;580 000,00 €;105.01;Lisboa;Apartments
10372;T3;598 000,00 €;108;Lisboa;Apartments
10373;T2;660 000,00 €;105;Lisboa;Apartments
10374;T1;579 800,00 €;83;Porto;Apartments
10375;T2;588 000,00 €;74;Porto;Apartments
10376;T0;508 250,00 €;49;Porto;Apartments
10377;T0;508 800,00 €;66;Porto;Apartments
10378;T1;548 000,00 €;78;Porto;Apartments
10379;T1;608 000,00 €;131;Porto;Apartments
1038;T1;207 000,00 €;56;Lisboa;Apartments
10380;T2;159 500,00 €;73;Faro;Apartments
10381;T2;340 000,00 €;307;Aveiro;Apartments
10382;T3;325 000,00 €;104;Set??bal;Apartments
10383;T2;1 050 000,00 €;159.25;Faro;Apartments
10384;T2;465 500,00 €;115;Porto;Apartments
10385;T2;371 500,00 €;76;Porto;Apartments
